filename,rgb_path,fluo_path,registered_rgb_train_path,registered_rgb_visual_path,overlay_path,status,message
00370.jpg,D:\multimodel\data\apply_rgbtest\00370.jpg,D:\multimodel\data\apply_graytest\00370.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00370.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00370.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00370.jpg,success,
00371.jpg,D:\multimodel\data\apply_rgbtest\00371.jpg,D:\multimodel\data\apply_graytest\00371.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00371.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00371.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00371.jpg,success,
00372.jpg,D:\multimodel\data\apply_rgbtest\00372.jpg,D:\multimodel\data\apply_graytest\00372.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00372.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00372.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00372.jpg,success,
00373.jpg,D:\multimodel\data\apply_rgbtest\00373.jpg,D:\multimodel\data\apply_graytest\00373.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00373.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00373.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00373.jpg,success,
00374.jpg,D:\multimodel\data\apply_rgbtest\00374.jpg,D:\multimodel\data\apply_graytest\00374.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00374.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00374.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00374.jpg,success,
00375.jpg,D:\multimodel\data\apply_rgbtest\00375.jpg,D:\multimodel\data\apply_graytest\00375.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00375.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00375.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00375.jpg,success,
00376.jpg,D:\multimodel\data\apply_rgbtest\00376.jpg,D:\multimodel\data\apply_graytest\00376.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00376.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00376.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00376.jpg,success,
00377.jpg,D:\multimodel\data\apply_rgbtest\00377.jpg,D:\multimodel\data\apply_graytest\00377.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00377.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00377.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00377.jpg,success,
00378.jpg,D:\multimodel\data\apply_rgbtest\00378.jpg,D:\multimodel\data\apply_graytest\00378.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00378.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00378.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00378.jpg,success,
00379.jpg,D:\multimodel\data\apply_rgbtest\00379.jpg,D:\multimodel\data\apply_graytest\00379.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00379.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00379.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00379.jpg,success,
00380.jpg,D:\multimodel\data\apply_rgbtest\00380.jpg,D:\multimodel\data\apply_graytest\00380.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00380.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00380.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00380.jpg,success,
00381.jpg,D:\multimodel\data\apply_rgbtest\00381.jpg,D:\multimodel\data\apply_graytest\00381.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00381.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00381.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00381.jpg,success,
00382.jpg,D:\multimodel\data\apply_rgbtest\00382.jpg,D:\multimodel\data\apply_graytest\00382.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00382.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00382.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00382.jpg,success,
00383.jpg,D:\multimodel\data\apply_rgbtest\00383.jpg,D:\multimodel\data\apply_graytest\00383.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00383.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00383.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00383.jpg,success,
00384.jpg,D:\multimodel\data\apply_rgbtest\00384.jpg,D:\multimodel\data\apply_graytest\00384.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00384.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00384.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00384.jpg,success,
00385.jpg,D:\multimodel\data\apply_rgbtest\00385.jpg,D:\multimodel\data\apply_graytest\00385.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00385.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00385.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00385.jpg,success,
00386.jpg,D:\multimodel\data\apply_rgbtest\00386.jpg,D:\multimodel\data\apply_graytest\00386.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00386.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00386.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00386.jpg,success,
00387.jpg,D:\multimodel\data\apply_rgbtest\00387.jpg,D:\multimodel\data\apply_graytest\00387.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00387.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00387.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00387.jpg,success,
00388.jpg,D:\multimodel\data\apply_rgbtest\00388.jpg,D:\multimodel\data\apply_graytest\00388.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00388.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00388.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00388.jpg,success,
00389.jpg,D:\multimodel\data\apply_rgbtest\00389.jpg,D:\multimodel\data\apply_graytest\00389.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00389.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00389.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00389.jpg,success,
00390.jpg,D:\multimodel\data\apply_rgbtest\00390.jpg,D:\multimodel\data\apply_graytest\00390.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00390.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00390.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00390.jpg,success,
00391.jpg,D:\multimodel\data\apply_rgbtest\00391.jpg,D:\multimodel\data\apply_graytest\00391.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00391.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00391.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00391.jpg,success,
00392.jpg,D:\multimodel\data\apply_rgbtest\00392.jpg,D:\multimodel\data\apply_graytest\00392.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00392.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00392.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00392.jpg,success,
